Time,Temperature,Humidity,UV,GAS
19:10:19,24.5,68,89,152
19:10:20,24.4,69,91,398
19:10:21,24.4,69,90,320
19:10:22,24.5,69,92,156
19:10:23,24.5,68,88,121
19:10:24,24.5,68,93,238
19:10:25,24.5,70,87,70
19:10:26,24.5,70,91,152
19:10:27,24.6,70,89,171
19:10:28,24.6,70,90,264
19:10:29,24.6,70,92,380
19:10:30,24.6,69,88,137
19:10:31,24.6,69,91,149
19:10:32,24.6,69,90,201
19:10:33,24.7,69,89,180
19:10:34,24.7,68,80,199
19:10:35,24.7,68,86,358
19:10:36,24.7,68,87,307
19:10:37,24.7,68,81,393
19:10:38,24.7,68,81,343
19:10:39,24.7,68,83,307
19:10:40,24.7,68,84,190
